tau,tpr,fpr
0.4171990084421667,0.9,0.24261874197689345
0.4192367330598724,0.9,0.24326059050064186
0.41950822486895606,0.9,0.24390243902439024
0.419630171334445,0.9,0.24454428754813864
0.4199692124744219,0.9,0.24518613607188702
0.42007387176803523,0.9,0.24582798459563543
0.42082016059762806,0.9,0.24646983311938384
0.4210271711142952,0.9,0.2471116816431322
0.4237691939912593,0.9,0.24775353016688062
0.42797202829516107,0.9,0.248395378690629
0.4292390003433497,0.9,0.2490372272143774
0.4318489724040388,0.9,0.2496790757381258
0.4319303930458016,0.9,0.2503209242618742
0.43291457911220416,0.9,0.25096277278562257
0.4333227858145435,0.925,0.25096277278562257
0.4335559450901961,0.925,0.251604621309371
0.43453618214677087,0.925,0.2522464698331194
0.4382706293187478,0.925,0.25288831835686776
0.43892787221225155,0.925,0.2535301668806162
0.43893730195367076,0.925,0.25417201540436457
0.43910872047169325,0.925,0.25481386392811295
0.440249252555598,0.925,0.2554557124518614
0.4410181267932263,0.925,0.25609756097560976
0.4426418229485412,0.925,0.25673940949935814
0.4427617204553405,0.925,0.2573812580231066
0.44489521723719594,0.925,0.25802310654685495
0.44571527478391654,0.925,0.25866495507060333
0.4469056645425767,0.925,0.2593068035943517
0.44749575068013253,0.925,0.25994865211810014
0.4488072359208605,0.925,0.2605905006418485
0.44946819098588425,0.925,0.2612323491655969
0.4500341921418032,0.925,0.26187419768934533
0.4513930797505766,0.925,0.2625160462130937
0.45335794817303643,0.925,0.2631578947368421
0.45399143563658073,0.925,0.2637997432605905
0.4541480475847602,0.925,0.2644415917843389
0.45421603394198684,0.925,0.2650834403080873
0.4546527600510003,0.925,0.26572528883183566
0.4552995911109828,0.925,0.2663671373555841
0.45551917043526907,0.925,0.26700898587933247
0.4575180475050765,0.925,0.26765083440308085
0.4582940721723606,0.925,0.2682926829268293
0.4586037674016112,0.925,0.26893453145057766
0.4586586378824879,0.925,0.26957637997432604
0.4611376487017682,0.925,0.2702182284980745
0.46163423987581415,0.925,0.27086007702182285
0.4616709475896938,0.925,0.27150192554557123
